name,year,pop_t,prop_u,wat_basal_r,wat_lim_r,wat_unimp_r,wat_ns_r,arc_wat_basal_r,wat_basal_u,wat_lim_u,wat_unimp_u,wat_ns_u,arc_wat_basal_u,wat_basal_t,wat_lim_t,wat_unimp_t,wat_ns_t,arc_wat_basal_t,blank,name2,year2,wat_sm_r,wat_imp_prem_r,wat_imp_av_r,wat_imp_qual_r,wat_arc_sm_r,wat_pip_r,wat_imp_npip_r,wat_sm_u,wat_imp_prem_u,wat_imp_av_u,wat_imp_qual_u,wat_arc_sm_u,wat_pip_u,wat_imp_npip_u,wat_sm_t,wat_imp_prem_t,wat_imp_av_t,wat_imp_qual_t,wat_arc_sm_t,wat_pip_t,wat_imp_npip_t,sl,latestyear,iso3,region_sdg,region_unicef_programme,region_who,region_lldc,region_ldc,region_sids,region_fragileoecdany,region_income,name_AR,name_ES,name_FR,name_RU,name_ZH
Afghanistan,2000,20130.327,22.07799911,21.97726959,2.645560988,46.53002128,28.84714814,2.20148325,57.0968335,3.058225138,31.28062269,8.564318668,1.658085346,29.73096643,2.736668933,43.16326001,24.36910462,2.129227877,,Afghanistan,2000,8.535747813,8.535747813,13.47936232,8.832859371,0.826450765,0,24.62283058,21.88525852,47.89598149,25.75588764,21.88525852,0.60400629,17.55653442,42.59852422,11.4830526,17.22569994,16.18977332,11.71456787,0.794652879,3.876131616,28.59150375,1,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2001,20284.307,22.16900063,21.97726959,2.645560988,46.53002128,28.84714814,2.20148325,57.0968335,3.058225138,31.28062269,8.564318668,1.658085346,29.76292551,2.737044459,43.14938298,24.35064706,2.129227877,,Afghanistan,2001,8.535747813,8.535747813,13.47936232,8.832859371,0.826450765,0,24.62283058,21.88525852,47.89598149,25.75588764,21.88525852,0.60400629,17.55653442,42.59852422,11.49520076,17.26151807,16.20094505,11.72644565,0.794652879,3.892108207,28.60786176,2,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2002,21378.117,22.26099968,24.09084707,2.899987413,45.03496049,27.97420503,2.20148325,58.88367029,3.153931833,29.81667054,8.145727335,1.658085346,31.83607733,2.956518003,41.64721663,23.56018804,2.129227877,,Afghanistan,2002,9.356639794,9.356639794,14.77568699,9.682324887,0.826450765,0,26.99083448,22.57015438,49.394879,26.56191426,22.57015438,0.60400629,18.83219975,43.20540237,12.29810023,18.26955193,17.39941906,12.55128457,0.794652879,4.192235807,30.60035952,3,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2003,22733.049,22.35299873,26.20442455,3.154413838,43.5398997,27.10126191,2.20148325,60.67050708,3.249638527,28.35271839,7.727136002,1.658085346,33.90862908,3.175699525,40.14510699,22.77056441,2.129227877,,Afghanistan,2003,10.17753178,10.17753178,16.07201166,10.5317904,0.826450765,0,29.35883839,23.25505025,50.89377652,27.36794088,23.25505025,0.60400629,20.10786509,43.81228052,13.1007499,19.27883452,18.59699134,13.37582111,0.794652879,4.494711182,32.58961742,4,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2004,23560.654,22.5,28.31800204,3.408840263,42.04483891,26.22831879,2.20148325,62.45734387,3.345345221,26.88876624,7.308544669,1.658085346,35.99935463,3.394553993,38.63472074,21.97137063,2.129227877,,Afghanistan,2004,10.99842376,10.99842376,17.36833632,11.38125592,0.826450765,0.938576263,30.78826603,23.93994611,52.39267403,28.1739675,23.93994611,0.60400629,21.38353042,44.41915867,13.91026655,20.31213012,19.79960383,14.2069615,0.794652879,5.538690826,33.8552178,5,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2005,24404.567,22.70299911,30.43157952,3.663266688,40.54977812,25.35537568,2.20148325,64.24418066,3.441051915,25.42481409,6.889953336,1.658085346,38.10805422,3.612817252,37.11595779,21.16317073,2.129227877,,Afghanistan,2005,11.81931574,11.81931574,18.66466099,12.23072144,0.826450765,1.888489947,32.20635626,24.62484197,53.89157154,28.97999411,24.62484197,0.60400629,22.65919576,45.02603682,14.72655431,21.37097992,21.00655099,15.04455857,0.794652879,6.60406328,35.1168082,6,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2006,25424.094,22.90699959,32.545157,3.917693113,39.05471733,24.48243256,2.20148325,66.03101745,3.536758609,23.96086194,6.471362003,1.658085346,40.21576304,3.830432487,35.59716744,20.35663703,2.129227877,,Afghanistan,2006,12.64020772,12.64020772,19.96098566,13.08018695,0.826450765,2.838403631,33.62444648,25.30973783,55.39046906,29.78602073,25.30973783,0.60400629,23.93486109,45.63291496,15.54241698,22.4330098,22.21160654,15.88161018,0.794652879,7.670968969,36.37522656,7,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2007,25909.852,23.11300087,34.77393472,4.056919299,37.55965653,23.60948945,2.20148325,67.89624263,3.554076904,22.49690979,6.052770671,1.658085346,42.42949556,3.94069749,34.07820121,19.55160574,2.129227877,,Afghanistan,2007,13.84123366,13.84123366,21.25731032,13.92965247,0.826450765,3.788317315,35.0425367,25.9946337,56.7324984,30.59204735,25.9946337,0.60400629,25.21052642,46.23979311,16.65024972,23.75469279,23.41484906,16.71823229,0.794652879,8.739632939,37.63056011,8,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2008,26482.622,23.31999969,37.01676285,4.182095079,36.06459574,22.73654633,2.20148325,69.76559851,3.567264508,21.03295764,5.634179338,1.658085346,44.65379224,4.038716676,32.55921633,18.74827476,2.129227877,,Afghanistan,2008,14.77911799,15.08862266,22.55363499,14.77911799,0.826450765,4.738230999,36.46062693,26.67952956,58.06626156,31.39807396,26.67952956,0.60400629,26.48619176,46.84667126,17.55429433,25.11100855,24.61615867,17.55429433,0.794652879,9.809855637,38.88265328,9,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
Afghanistan,2009,27466.101,23.52799988,39.27364138,4.293220455,34.56953495,21.86360321,2.20148325,71.63908508,3.576321422,19.56900549,5.215588005,1.658085346,46.88858421,4.124548529,31.04020884,17.94665842,2.129227877,,Afghanistan,2009,15.6285835,16.38237473,23.84995966,15.6285835,0.826450765,5.688144683,37.87871715,27.36442542,59.39175852,32.20410058,27.36442542,0.60400629,27.76185709,47.45354941,18.38979287,26.50162346,25.81552253,18.38979287,0.794652879,10.88164815,40.13148459,10,0,AFG,Central and Southern Asia,South Asia,Eastern Mediterranean,Landlocked developing countries,Least developed countries,,Fragile or Extremely Fragile,Low income,أفغانستان,Afganistán,Afghanistan,Афганистан,阿富汗
